ticker,date,gvkey,comp_name,fiscal_year,fiscal_quarter,assets,net_income,ebitda,revenue,rd_expense,cap_ex_ytd,sector_code
F,2019-06-30,4839,FORD MOTOR CO,2019,2,262184.0,148.0,3763.0,38853.0,,3553.0,25
F,2019-09-30,4839,FORD MOTOR CO,2019,3,258157.0,425.0,3941.0,36990.0,,5358.0,25
F,2019-12-31,4839,FORD MOTOR CO,2019,4,258537.0,-1672.0,3000.0,39715.0,7400.0,7632.0,25
F,2020-03-31,4839,FORD MOTOR CO,2020,1,264150.0,-1993.0,2074.0,34320.0,,1780.0,25
F,2020-06-30,4839,FORD MOTOR CO,2020,2,269366.0,1117.0,453.0,19371.0,,2955.0,25
F,2020-09-30,4839,FORD MOTOR CO,2020,3,259943.0,2385.0,5014.0,37501.0,,4211.0,25
F,2020-12-31,4839,FORD MOTOR CO,2020,4,267261.0,-2788.0,428.0,35952.0,7100.0,5742.0,25
F,2021-03-31,4839,FORD MOTOR CO,2021,1,260819.0,3262.0,5371.0,36228.0,,1368.0,25
F,2021-06-30,4839,FORD MOTOR CO,2021,2,248532.0,561.0,2194.0,26752.0,,2881.0,25
F,2021-09-30,4839,FORD MOTOR CO,2021,3,252677.0,1832.0,3849.0,35683.0,,4455.0,25
F,2021-12-31,4839,FORD MOTOR CO,2021,4,257035.0,12282.0,3217.0,37678.0,7600.0,6227.0,25
F,2022-03-31,4839,FORD MOTOR CO,2022,1,252986.0,-3110.0,3811.0,34476.0,,1370.0,25
F,2022-06-30,4839,FORD MOTOR CO,2022,2,245755.0,667.0,5442.0,40190.0,,3069.0,25
F,2022-09-30,4839,FORD MOTOR CO,2022,3,246919.0,-827.0,3250.0,39392.0,,4801.0,25
F,2022-12-31,4839,FORD MOTOR CO,2022,4,255884.0,1289.0,4781.0,43999.0,7800.0,6866.0,25
F,2023-03-31,4839,FORD MOTOR CO,2023,1,256800.0,1757.0,5402.0,41474.0,,1780.0,25
F,2023-06-30,4839,FORD MOTOR CO,2023,2,265991.0,1917.0,5869.0,44954.0,,3729.0,25
F,2023-09-30,4839,FORD MOTOR CO,2023,3,268073.0,1199.0,4685.0,43801.0,,5941.0,25
F,2023-12-31,4839,FORD MOTOR CO,2023,4,273310.0,-526.0,3503.0,45962.0,8200.0,8236.0,25
F,2024-03-31,4839,FORD MOTOR CO,2024,1,274341.0,1332.0,4954.0,42777.0,,2094.0,25
F,2024-06-30,4839,FORD MOTOR CO,2024,2,276586.0,1831.0,5694.0,47808.0,,4194.0,25
F,2024-09-30,4839,FORD MOTOR CO,2024,3,287047.0,892.0,5578.0,46196.0,,6186.0,25
F,2024-12-31,4839,FORD MOTOR CO,2024,4,285196.0,1824.0,5343.0,48211.0,8000.0,8684.0,25
F,2025-03-31,4839,FORD MOTOR CO,2025,1,284539.0,471.0,4021.0,40659.0,,1818.0,25
F,2025-06-30,4839,FORD MOTOR CO,2025,2,292725.0,-36.0,4477.0,50184.0,,3906.0,25
F,2025-09-30,4839,FORD MOTOR CO,2025,3,300990.0,2447.0,5348.0,50534.0,,6031.0,25
F,2025-12-31,4839,FORD MOTOR CO,2025,4,289160.0,-11064.0,3807.0,45890.0,9400.0,8815.0,25
GM,2005-03-31,5073,GENERAL MOTORS CO,2005,1,468097.0,-1253.0,,45773.0,,4960.0,25
GM,2005-06-30,5073,GENERAL MOTORS CO,2005,2,466001.0,-987.0,,48469.0,,11322.0,25
GM,2005-09-30,5073,GENERAL MOTORS CO,2005,3,469418.0,-1600.0,,48761.0,,17420.0,25
GM,2005-12-31,5073,GENERAL MOTORS CO,2005,4,476078.0,-6577.0,,51652.0,6700.0,23675.0,25
GM,2006-03-31,5073,GENERAL MOTORS CO,2006,1,463664.0,602.0,7741.0,51843.0,,5900.0,25
GM,2006-06-30,5073,GENERAL MOTORS CO,2006,2,470506.0,-3383.0,9470.0,54136.0,,12409.0,25
GM,2006-09-30,5073,GENERAL MOTORS CO,2006,3,469578.0,-147.0,7088.0,48819.0,,19148.0,25
GM,2006-12-31,5073,GENERAL MOTORS CO,2006,4,186192.0,950.0,6366.0,50803.0,6600.0,25003.0,25
GM,2007-03-31,5073,GENERAL MOTORS CO,2007,1,185198.0,62.0,2709.0,43227.0,,1185.0,25
GM,2007-06-30,5073,GENERAL MOTORS CO,2007,2,186527.0,891.0,3589.0,46677.0,,2884.0,25
GM,2007-09-30,5073,GENERAL MOTORS CO,2007,3,149500.0,-38963.0,1240.0,43276.0,,4939.0,25
GM,2007-12-31,5073,GENERAL MOTORS CO,2007,4,148883.0,-722.0,1233.0,46804.0,8100.0,7542.0,25
